 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:00180-07994,34.466,3.049,0.653,22.181,5116.767,112.097,7.687,6.406,0.880,1.613,0.620,0.903
2,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:00797-03100,24.619,1.649,0.208,18.557,1983.163,507.961,5.765,5.765,0.898,1.145,0.873,0.882
3,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:00883-03522,9.848,1.202,0.177,15.995,2254.119,563.690,3.843,3.843,0.484,1.264,0.791,0.774
4,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:00898-04351,16.413,2.259,0.328,17.807,2784.500,572.658,5.124,5.124,0.650,1.175,0.851,0.792
5,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:00902-04350,0.410,1.818,0.000,2.562,2786.422,577.782,0.641,0.641,0.785,1.000,1.000,1.000
6,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01203-05089,59.085,2.619,0.500,28.211,3255.309,766.746,8.968,8.327,0.933,1.107,0.903,0.929
7,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01221-04095,24.619,1.865,0.234,19.994,2619.877,779.557,6.406,5.765,0.774,1.101,0.908,0.828
8,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01237-06029,0.410,0.735,0.000,2.562,3861.916,792.369,0.641,0.641,0.785,1.000,1.000,1.000
9,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01385-05796,54.161,1.625,0.204,27.991,3708.823,882.687,8.327,8.968,0.869,1.092,0.916,0.901
10,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01441-04446,50.879,1.225,0.180,33.309,2844.072,919.199,8.327,8.327,0.576,1.085,0.922,0.899
11,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01479-04125,2.052,2.726,0.578,10.249,2641.656,946.743,1.922,1.922,0.245,1.289,0.776,0.667
12,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01486-03860,0.821,1.450,0.212,5.124,2471.908,951.227,1.281,1.281,0.393,2.646,0.378,0.667
13,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01485-03863,4.513,1.709,0.213,14.092,2473.189,949.946,2.562,3.203,0.286,1.548,0.646,0.667
14,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01660-03575,0.410,1.917,0.000,2.562,2289.990,1063.324,0.641,0.641,0.785,1.000,1.000,1.000
15,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01662-03574,1.231,1.689,0.119,7.687,2288.709,1063.965,1.281,1.922,0.262,1.567,0.638,0.600
16,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01797-08338,54.572,2.021,0.573,34.590,5336.478,1147.237,8.968,8.327,0.573,1.110,0.901,0.911
17,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01835-08354,17.233,1.320,0.222,20.498,5348.648,1172.859,5.124,5.124,0.515,1.862,0.537,0.866
18,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01883-06106,12.720,1.458,0.204,17.936,3909.317,1204.247,4.484,4.484,0.497,1.350,0.741,0.827
19,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01904-03428,35.697,1.271,0.157,28.184,2192.626,1216.417,7.046,7.046,0.565,1.090,0.917,0.906
20,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01903-04131,46.776,1.803,0.190,38.433,2642.296,1214.495,7.687,9.608,0.398,1.400,0.714,0.826
21,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01910-05648,6.565,1.450,0.140,11.530,3616.583,1222.182,3.203,2.562,0.621,1.392,0.718,0.889
22,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:01949-03269,77.959,1.677,0.475,40.996,2089.496,1242.680,8.968,11.530,0.583,1.258,0.795,0.929
23,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02017-03136,10.258,1.466,0.231,16.654,2007.505,1290.081,3.203,4.484,0.465,1.321,0.757,0.833
24,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02058-03589,22.157,1.266,0.161,28.184,2296.396,1315.063,5.765,6.406,0.351,1.368,0.731,0.812
25,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02115-03736,58.675,1.904,0.257,34.590,2388.636,1350.934,8.968,8.327,0.616,1.093,0.915,0.923
26,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02190-05376,3.283,1.868,0.260,11.530,3442.352,1401.538,2.562,2.562,0.310,1.308,0.764,0.667
27,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02280-06092,0.410,1.350,0.000,2.562,3902.271,1460.469,0.641,0.641,0.785,1.000,1.000,1.000
28,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02282-06088,33.235,1.341,0.164,26.903,3896.506,1458.548,7.046,6.406,0.577,1.167,0.857,0.895
29,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02355-04081,0.410,1.556,0.000,2.562,2614.112,1508.511,0.641,0.641,0.785,1.000,1.000,1.000
30,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02373-05235,23.798,1.380,0.212,21.779,3350.752,1517.479,5.765,5.124,0.630,1.119,0.893,0.921
31,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02394-05357,22.567,1.385,0.196,21.779,3428.900,1530.930,5.765,5.124,0.598,1.110,0.901,0.902
32,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02415-03172,19.285,1.293,0.230,21.779,2029.284,1544.382,5.765,5.124,0.511,1.204,0.831,0.847
33,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02436-03315,71.394,0.873,0.114,38.433,2118.962,1555.912,9.608,9.608,0.607,1.047,0.955,0.938
34,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02612-04546,53.751,1.482,0.235,34.590,2908.127,1669.291,8.327,8.327,0.565,1.154,0.867,0.913
35,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02620-00814,41.031,1.524,0.292,29.466,518.210,1674.415,7.046,7.687,0.594,1.032,0.969,0.913
36,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02647-01002,6.975,1.220,0.163,11.530,640.557,1694.272,2.562,3.203,0.659,1.385,0.722,0.919
37,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02831-04058,69.753,1.989,0.615,38.433,2594.895,1808.932,9.608,9.608,0.593,1.134,0.882,0.932
38,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02885-05456,11.899,1.516,0.247,17.936,3492.956,1846.084,4.484,3.843,0.465,1.419,0.705,0.829
39,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02921-03336,121.863,0.980,0.217,52.526,2130.492,1864.661,13.452,12.811,0.555,1.349,0.741,0.930
40,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:02949-02510,18.464,1.645,0.297,20.498,1605.235,1887.080,5.765,4.484,0.552,1.533,0.652,0.865
41,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03004-05246,9.437,1.432,0.182,14.092,3359.079,1922.311,3.203,3.843,0.597,1.132,0.884,0.885
42,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03006-05307,41.852,1.848,0.331,29.466,3395.591,1922.311,7.687,7.046,0.606,1.100,0.909,0.919
43,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03017-05443,30.773,1.118,0.152,26.903,3483.347,1929.357,7.046,6.406,0.534,1.112,0.900,0.882
44,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03025-03004,70.984,1.405,0.228,40.996,1919.108,1933.200,10.889,9.608,0.531,1.272,0.786,0.908
45,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03064-05449,11.489,1.364,0.210,16.654,3488.472,1960.744,3.843,4.484,0.521,1.056,0.947,0.848
46,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03103-04786,20.516,1.717,0.238,24.341,3063.142,1985.085,5.765,5.124,0.435,1.106,0.905,0.833
47,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03150-04131,70.163,0.680,0.128,43.558,2641.015,2012.629,10.249,10.249,0.465,1.170,0.855,0.886
48,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03162-02849,29.543,2.063,0.375,25.622,1821.743,2022.237,6.406,6.406,0.565,1.078,0.928,0.894
49,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03206-05427,3.693,1.804,0.197,10.249,3475.020,2052.984,2.562,1.922,0.442,1.354,0.739,0.818
50,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03267-03904,32.825,2.162,0.419,26.903,2497.531,2089.496,7.046,6.406,0.570,1.199,0.834,0.899
51,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03297-01875,9.027,1.362,0.154,14.092,1199.122,2110.634,3.843,3.203,0.571,1.245,0.803,0.880
52,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03314-03441,34.877,1.094,0.186,25.622,2200.953,2119.602,6.406,6.406,0.668,1.163,0.860,0.939
53,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03318-03446,0.410,1.250,0.000,2.562,2207.358,2125.367,0.641,0.641,0.785,1.000,1.000,1.000
54,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03372-05544,27.901,0.916,0.297,24.341,3548.043,2157.395,6.406,5.765,0.592,1.013,0.987,0.907
55,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03491-03847,2.052,1.055,0.134,7.687,2462.940,2235.543,2.562,1.281,0.436,2.749,0.364,0.769
56,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03498-03848,11.489,0.836,0.126,15.373,2462.940,2238.746,3.843,3.843,0.611,1.130,0.885,0.889
57,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03506-02624,17.233,1.195,0.129,20.498,1678.899,2243.230,4.484,5.124,0.515,1.199,0.834,0.875
58,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03518-08001,64.419,1.764,0.344,39.715,5120.610,2248.995,9.608,9.608,0.513,1.062,0.942,0.897
59,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03562-05987,42.673,1.501,0.227,30.747,3831.810,2277.820,7.046,7.687,0.567,1.088,0.919,0.916
60,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03564-07646,8.617,1.906,0.231,15.373,4896.415,2281.022,3.203,4.484,0.458,1.333,0.750,0.764
61,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03590-02890,30.773,1.420,0.201,28.184,1848.006,2296.396,6.406,6.406,0.487,1.074,0.931,0.888
62,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03627-05605,23.798,1.836,0.261,23.060,3587.758,2320.096,5.124,6.406,0.562,1.213,0.824,0.892
63,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03635-00872,4.924,0.798,0.121,10.249,557.284,2327.142,2.562,2.562,0.589,1.088,0.919,0.857
64,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03703-04818,3.283,1.205,0.115,11.530,3084.921,2370.700,2.562,2.562,0.310,1.205,0.830,0.667
65,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03740-07278,14.771,2.292,0.340,16.654,4660.050,2393.760,3.843,4.484,0.669,1.105,0.905,0.923
66,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03809-02731,25.850,1.706,0.243,23.060,1746.798,2437.318,5.765,5.765,0.611,1.138,0.879,0.913
67,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03840-08039,21.747,0.926,0.096,25.622,5146.873,2456.535,5.765,7.046,0.416,1.262,0.792,0.791
68,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:03845-07034,26.670,1.039,0.255,25.622,4502.473,2459.738,6.406,6.406,0.511,1.265,0.791,0.872
69,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04008-01120,5.334,0.907,0.193,10.249,716.142,2566.070,2.562,2.562,0.638,1.450,0.690,0.897
70,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04011-09616,23.388,1.848,0.243,23.060,6157.031,2566.711,5.765,5.765,0.553,1.114,0.898,0.864
71,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04050-06518,32.415,1.969,0.294,26.903,4171.946,2591.052,6.406,7.046,0.563,1.069,0.936,0.888
72,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04075-06162,16.823,1.686,0.227,20.498,3944.548,2607.706,5.124,5.124,0.503,1.731,0.578,0.863
73,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04124-03930,68.522,1.892,0.372,37.152,2512.904,2637.172,9.608,8.968,0.624,1.112,0.899,0.938
74,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04144-03970,1.641,2.771,0.229,7.687,2542.369,2653.826,1.922,1.922,0.349,2.654,0.377,0.667
75,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04259-07980,6.565,1.430,0.159,14.092,5110.361,2726.209,3.203,3.843,0.415,1.403,0.713,0.744
76,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04271-06950,39.390,1.474,0.213,33.309,4447.385,2732.615,8.968,7.046,0.446,1.539,0.650,0.869
77,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04285-08387,29.953,1.448,0.265,24.341,5369.787,2741.583,5.765,6.406,0.635,1.053,0.949,0.924
78,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04327-10362,2.052,1.640,0.261,8.968,6636.808,2770.408,1.281,2.562,0.321,1.871,0.534,0.714
79,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04338-04810,34.056,0.999,0.109,26.903,3077.875,2775.532,6.406,7.046,0.591,1.201,0.833,0.912
80,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04390-01790,42.673,1.050,0.345,34.590,1142.753,2807.560,7.687,8.968,0.448,1.348,0.742,0.852
81,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04402-07378,1.641,0.980,0.074,6.406,4725.387,2819.090,1.922,1.281,0.503,2.031,0.492,0.800
82,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04419-06601,21.747,1.883,0.420,21.779,4225.752,2828.058,5.124,5.765,0.576,1.102,0.907,0.883
83,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04451-06841,26.670,1.635,0.272,25.622,4378.845,2848.556,7.046,5.124,0.511,1.322,0.756,0.884
84,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04456-05058,9.027,1.822,0.274,14.092,3238.014,2853.039,3.843,3.203,0.571,1.170,0.854,0.863
85,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04456-07186,17.233,1.701,0.223,20.498,4600.478,2852.399,5.124,4.484,0.515,1.214,0.824,0.884
86,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04522-07929,42.262,1.674,0.316,29.466,5075.131,2893.395,7.687,7.046,0.612,1.063,0.940,0.924
87,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04576-07214,18.464,1.227,0.203,20.498,4618.414,2928.625,5.124,5.124,0.552,1.068,0.936,0.874
88,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04579-07587,14.361,1.550,0.289,16.654,4857.982,2931.187,3.843,4.484,0.651,1.211,0.826,0.909
89,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04634-01345,90.269,0.877,0.193,43.558,856.424,2963.215,10.889,10.889,0.598,1.018,0.982,0.940
90,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04644-04757,0.410,1.000,0.000,2.562,3047.128,2974.745,0.641,0.641,0.785,1.000,1.000,1.000
91,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04643-04755,4.924,0.769,0.089,11.530,3044.566,2972.824,2.562,3.203,0.465,1.305,0.766,0.774
92,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04659-01428,24.619,1.614,0.391,23.060,911.512,2981.791,6.406,5.124,0.582,1.216,0.822,0.909
93,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04663-06233,1.231,1.107,0.210,6.406,3991.949,2986.275,1.922,1.281,0.377,2.702,0.370,0.667
94,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04672-06379,0.410,1.154,0.000,2.562,4086.111,2992.681,0.641,0.641,0.785,1.000,1.000,1.000
95,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04670-06375,17.233,1.714,0.193,29.466,4080.987,2988.837,5.765,5.765,0.249,1.141,0.876,0.730
96,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04690-07102,27.901,1.143,0.341,23.060,4546.671,3001.649,5.765,5.765,0.659,1.077,0.928,0.938
97,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04707-05687,81.242,1.818,0.421,43.558,3637.721,3009.976,10.889,10.249,0.538,1.153,0.867,0.915
98,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04722-01104,0.410,0.793,0.000,2.562,707.175,3024.709,0.641,0.641,0.785,1.000,1.000,1.000
99,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04753-04107,18.874,1.818,0.308,20.498,2628.204,3042.004,5.124,5.124,0.565,1.124,0.889,0.876
100,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04764-04234,3.693,1.610,0.232,8.968,2711.476,3050.331,1.922,2.562,0.577,1.817,0.550,0.857
101,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04830-02583,19.285,1.876,0.230,20.498,1651.996,3091.327,5.124,5.124,0.577,1.174,0.852,0.887
102,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04833-08341,0.821,1.777,0.456,3.843,5342.243,3095.810,1.281,0.641,0.698,2.000,0.500,1.000
103,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04901-05890,31.594,1.506,0.201,25.622,3769.676,3136.166,6.406,6.406,0.605,1.041,0.961,0.911
104,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04906-06405,50.468,1.154,0.214,30.747,4099.563,3138.728,7.046,8.327,0.671,1.222,0.818,0.943
105,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04937-02387,10.258,1.730,0.245,15.373,1527.087,3161.147,4.484,3.203,0.545,1.534,0.652,0.847
106,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04971-08284,11.078,1.457,0.179,16.654,5304.450,3182.286,3.843,3.843,0.502,1.105,0.905,0.844
107,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04975-02817,37.749,1.382,0.241,28.184,1800.605,3183.567,7.687,6.406,0.597,1.215,0.823,0.911
108,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04977-06022,25.439,1.228,0.175,25.622,3854.230,3185.488,7.046,5.765,0.487,1.346,0.743,0.855
109,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:04996-07911,66.881,1.021,0.127,37.152,5062.319,3196.378,10.249,8.327,0.609,1.237,0.809,0.931
110,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05005-05581,0.821,1.036,0.051,5.124,3574.306,3205.346,1.281,1.281,0.393,2.646,0.378,0.667
111,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05032-07512,32.004,1.582,0.291,25.622,4808.659,3220.078,6.406,6.406,0.613,1.146,0.873,0.923
112,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05079-04146,32.415,0.871,0.113,28.184,2652.545,3249.544,6.406,7.687,0.513,1.158,0.864,0.878
113,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05108-04813,84.935,1.442,0.310,44.839,3077.875,3266.839,10.249,10.889,0.531,1.054,0.949,0.926
114,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05122-05317,1.231,1.552,0.114,5.124,3405.199,3280.291,1.281,1.281,0.589,1.464,0.683,0.857
115,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05122-05320,4.103,1.321,0.126,10.249,3406.480,3279.650,2.562,2.562,0.491,1.137,0.880,0.800
116,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05166-04577,55.803,1.250,0.192,34.590,2927.344,3305.272,8.968,8.327,0.586,1.221,0.819,0.910
117,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05204-02678,0.410,1.375,0.000,2.562,1715.411,3333.457,0.641,0.641,0.785,1.000,1.000,1.000
118,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05247-06764,68.112,1.303,0.171,43.558,4328.242,3355.876,9.608,10.249,0.451,1.083,0.924,0.885
119,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05261-02591,12.309,2.565,0.408,15.373,1657.761,3368.047,3.843,3.843,0.654,1.243,0.805,0.923
120,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05269-06531,67.702,1.172,0.227,39.715,4178.992,3370.609,9.608,9.608,0.539,1.052,0.951,0.904
121,Result of BEFORE_GA3_A4 Region1_Merged_RAW_ch01.tif:05282-05949,23.798,1.548,0.220,21.779,3808.109,3380.858,5.124,5.765,0.630,1.291,0.775,0.921
